1536_row,1536_column,384_plate,384_row,384_column
1,1,1,1,1
1,2,1,1,3
1,3,1,1,5
1,4,1,1,7
1,5,1,1,9
1,6,1,1,11
1,7,1,1,13
1,8,1,1,15
1,9,1,1,17
1,10,1,1,19
1,11,1,1,21
1,12,1,1,23
1,13,2,1,1
1,14,2,1,3
1,15,2,1,5
1,16,2,1,7
1,17,2,1,9
1,18,2,1,11
1,19,2,1,13
1,20,2,1,15
1,21,2,1,17
1,22,2,1,19
1,23,2,1,21
1,24,2,1,23
1,25,3,1,1
1,26,3,1,3
1,27,3,1,5
1,28,3,1,7
1,29,3,1,9
1,30,3,1,11
1,31,3,1,13
1,32,3,1,15
1,33,3,1,17
1,34,3,1,19
1,35,3,1,21
1,36,3,1,23
1,37,4,1,1
1,38,4,1,3
1,39,4,1,5
1,40,4,1,7
1,41,4,1,9
1,42,4,1,11
1,43,4,1,13
1,44,4,1,15
1,45,4,1,17
1,46,4,1,19
1,47,4,1,21
1,48,4,1,23
2,1,1,2,1
2,2,1,2,3
2,3,1,2,5
2,4,1,2,7
2,5,1,2,9
2,6,1,2,11
2,7,1,2,13
2,8,1,2,15
2,9,1,2,17
2,10,1,2,19
2,11,1,2,21
2,12,1,2,23
2,13,2,2,1
2,14,2,2,3
2,15,2,2,5
2,16,2,2,7
2,17,2,2,9
2,18,2,2,11
2,19,2,2,13
2,20,2,2,15
2,21,2,2,17
2,22,2,2,19
2,23,2,2,21
2,24,2,2,23
2,25,3,2,1
2,26,3,2,3
2,27,3,2,5
2,28,3,2,7
2,29,3,2,9
2,30,3,2,11
2,31,3,2,13
2,32,3,2,15
2,33,3,2,17
2,34,3,2,19
2,35,3,2,21
2,36,3,2,23
2,37,4,2,1
2,38,4,2,3
2,39,4,2,5
2,40,4,2,7
2,41,4,2,9
2,42,4,2,11
2,43,4,2,13
2,44,4,2,15
2,45,4,2,17
2,46,4,2,19
2,47,4,2,21
2,48,4,2,23
3,1,1,1,2
3,2,1,1,4
3,3,1,1,6
3,4,1,1,8
3,5,1,1,10
3,6,1,1,12
3,7,1,1,14
3,8,1,1,16
3,9,1,1,18
3,10,1,1,20
3,11,1,1,22
3,12,1,1,24
3,13,2,1,2
3,14,2,1,4
3,15,2,1,6
3,16,2,1,8
3,17,2,1,10
3,18,2,1,12
3,19,2,1,14
3,20,2,1,16
3,21,2,1,18
3,22,2,1,20
3,23,2,1,22
